order_id,category,country,quantity,price
1,Furniture,UK,2,431.0499147371547
2,Clothing,China,1,439.224821941533
3,Books,China,1,251.56639195692406
4,Toys,UK,4,469.41746920722306
5,Clothing,China,3,260.844679760151
6,Toys,UK,1,44.556785800172364
7,Furniture,Singapore,10,449.81446961250475
8,Clothing,Singapore,1,367.679708968393
9,Electronics,Singapore,10,479.06145899949775
10,Books,Malaysia,10,443.0822943038741
11,Furniture,Malaysia,6,238.10865992952773
12,Clothing,UK,5,129.3199971141991
13,Furniture,UK,8,292.4539525650032
14,Electronics,China,2,199.55875933207926
15,Electronics,China,1,331.4434279795425
16,Books,China,10,176.5864530856354
17,Clothing,Malaysia,5,125.98408526177458
18,Toys,Singapore,5,44.276532239585045
19,Furniture,Singapore,7,30.563424240752923
20,Furniture,Singapore,2,267.0554989332937
21,Books,UK,6,13.905103788252667
22,Furniture,China,2,423.6579042047993
23,Books,Singapore,3,136.9598772234827
24,Electronics,Malaysia,8,195.9570638427903
25,Clothing,Singapore,4,439.97273630320024
26,Toys,Singapore,6,328.50601525219105
27,Clothing,UK,5,58.57617907082692
28,Toys,UK,4,51.392444403206355
29,Books,China,3,228.21279649380523
30,Clothing,China,6,328.73301779748886
31,Furniture,Singapore,6,231.35872992897876
32,Books,China,2,223.21400962443045
33,Furniture,China,2,482.76495559936944
34,Books,USA,10,64.05157355448407
35,Toys,Malaysia,10,420.58684640076774
36,Books,UK,8,280.4503353875761
37,Books,Singapore,5,365.6966218432146
38,Toys,China,2,105.36696037324725
39,Clothing,USA,7,93.9463931702338
40,Electronics,Singapore,1,339.18101996272503
41,Books,UK,9,464.2871638042827
42,Electronics,China,9,251.0887708261317
43,Clothing,Malaysia,4,221.02117729826114
44,Furniture,UK,6,300.33505255021066
45,Books,Malaysia,8,338.00639304044154
46,Furniture,China,1,476.7044674270972
47,Electronics,UK,3,217.50395392479948
48,Furniture,Malaysia,4,494.2936222051872
49,Books,Singapore,3,345.13281157299133
50,Furniture,Singapore,9,178.62410127386482
